Contador,Sitio,Número Catalogo,Región,Departamento,Municipio,Vereda,Latitud,Longitud,Altitud,Héctareas valor mayor,Héctareas valor menor,Plancha,Escala,Contextos,Descripción,Restos Fauna,Restos Oseos,Restos Botánicos,Analisis de Suelos,Polen,Cerámica,Líticos,Tipos cerámicos,Referencia,Multicomponente
152,Irique,151,Tierras bajas orientales,Meta,Fuente de Oro,,3.428911,-73.631451,,,,,,,"3.428911, -73.631451, localización aproximada",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"Mora, & Cavelier, 1985",FALSE
153,Jardin del Este,152,Ecuador,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Buys & Dominguez, 1989",FALSE
154,Jolón,153,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE
155,Jongovito,154,Macizo Andino del sur,,,,1.179571005,-77.3079592,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"Groot, 1991",FALSE
157,La  Guayabala,156,Macizo Antioqueño,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE
158,La Aguada,157,Valles alto Calima y alto y medio del Cauca,,,,5.920,-75.690,,,,,,,En el catalogo de Erigaie aparece como La Sorga.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Otero, 1992; Bermudez, 1995:59",FALSE
159,La Alsacia,158,Valles alto Calima y alto y medio del Cauca,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Bray, et al. 1981; Rodríguez, et al. 1994.",FALSE
160,La Amapola,159,Valles alto Calima y alto y medio del Cauca,,,,3.65847032,-76.58523671,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"Gähwiler, 1988; 1989",FALSE
161,La Asomada,160,Altiplano Cundiboyacense,Boyacá,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"Boada, et al. 1989",FALSE
162,La Aurora,161,Valles alto Calima y alto y medio del Cauca,,,,3.83,-76.55,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Bray, et al. 1981",FALSE
163,La Balsa,162,Valles alto Calima y alto y medio del Cauca,,,,2.573652275,-76.65021312,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Méndez, 1980; Gnecco & Salgado 1989",FALSE
164,La Balsa (?),163,Valles alto Calima y alto y medio del Cauca,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE
165,La Bolivia,164,Valles alto Calima y alto y medio del Cauca,,,,3.650372722,-76.57768065,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Gähwiler-Walder 1988; 1989,FALSE
166,La Cocotera,165,Costa Pacífica,,,,2.849393469,-77.67773736,,,,,,Basurero,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Patiño, 1988; 1988; 1987; 1987; 1995",FALSE
167,La Elvira,166,Valles alto Calima y alto y medio del Cauca,,,,2.5062472,-76.5583472,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,Gnecco & Illera 1989; Gnecco & Salgado 1989; Gnecco & Mohammed 1994; Gnecco 1997; Gnecco 7 Mora 1997; Mora & Gnecco 2003,FALSE
168,La Escocia,167,Valles alto Calima y alto y medio del Cauca,,,,3.660,-76.580,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,Gähwiler-Walder 1988,FALSE
169,La Esperanza,168,Macizo Andino del sur,,,,1.02,-77.51,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Groot 1991,FALSE
170,La Estación,169,Alto Magdalena,Huila,San Agustín,,1.81063,-76.28998,1730,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,,"Duque, & Cubillos, 1981",FALSE
171,La Estrella,170,Sierra Nevada,,,,11.0875027,-73.9363083,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,Herrera 1985; Reichel-Dolmatoff 1986,FALSE
172,La Ferrería,171,Macizo Antioqueño,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE
173,La Gaitana,172,Alto Magdalena,Huila,San Agustín,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Llanos, & Durán, 1983",FALSE
174,La Hormiga,173,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,,,8.708061,-74.9117916,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Plazas; Falchetti; Sáenz & Archila 1993,FALSE
175,La Iberia,174,Valles alto Calima y alto y medio del Cauca,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Bray, et al. 1981",FALSE
176,La Isla,175,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,,,10.79414975,-75.22296323,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"Angulo, 1983; Archila 1991; Santos & Ortiz-Troncoso 1986.",FALSE
177,La Julia,176,Alto Magdalena,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Drennan, 1993",FALSE
178,La Llanada,177,Valles alto Calima y alto y medio del Cauca,,,,4.355374176,-76.29088383,,,,,,Habitación,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Salgado, 1986",FALSE
179,La Loma,178,Altiplano Cundiboyacense,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Garcia, & Gutierrez, 1985",FALSE
180,La Magnolia,180,Costa Pacífica,,,,1.661617094,-78.74732656,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"Patiño, 1993",FALSE
181,La Maporita,181,Tierras bajas orientales,,,,5.17409250,-72.55414952,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"López, et al. 1993; Peña, 1992.",FALSE
182,La Marcela,182,Alto Magdalena,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Patiño, & Gnecco, 1992",FALSE
183,La Mireya,183,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,,,8.04251,-75.48144,,,,,,,En algunos referencias aparece como el Anclar 1.,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"Reichel-Dolmatoff, 1986; Plazas, Falchetti; Sáenz & Archila 1993; Plazas & Falchetti 1981",FALSE
184,La Muela,184,Altiplano Cundiboyacense,,,,5.55000,-73.36000,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,"Pradilla, et al. 1991; Pradilla, Villate & Ortiz 1990;1992.",FALSE
185,La Pedregosa 1,185,Magdalena medio,,,,6.051591,-74.11050,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"López, 1991",FALSE
186,La Pedrera,186,Tierras bajas orientales,Amazonas,La Pedrera,,-1.317514,-69.587694,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Hildebrand, &  Reichel, 1985",FALSE
187,La Primavera,187,Valles alto Calima y alto y medio del Cauca,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Bray, & Moseley 1970",FALSE
189,La Ribera,189,Magdalena medio,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Chacín, 1993",FALSE
190,La Selva (Risaralda).,381,Valles alto Calima y alto y medio del Cauca,,,,5.01510560,-75.74560566,0,0,0,,,,En el catalogo de Erigaie aparece como Marsella-La Selva,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Patiño, 1996; 1996.",FALSE
191,La Sofía,190,Valles alto Calima y alto y medio del Cauca,,,,4.500,-76.280,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Gähwiler 1983; 1989,FALSE
192,La Soledad,191,Valles alto Calima y alto y medio del Cauca,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Salgado, 1986 cita a Plazas & Falchetti.",FALSE
193,La Suiza,192,Valles alto Calima y alto y medio del Cauca,,,,3.849881459,-76.47484737,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Herrera, et al. 1982-83; Bray, et al. 1981; Scott 1981",FALSE
194,La Tebaida,193,Valles alto Calima y alto y medio del Cauca,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Bruhns, 1976",FALSE
196,La Victoria,195,Macizo Andino del sur,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Uribe, 1978; 1992:9;",FALSE
197,La Virginia,196,Valles alto Calima y alto y medio del Cauca,,,,3.570,-76.510,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Bray 1981; Bray, et al. 1981; Gahwiler 1989.",FALSE
198,Laguna baja,197,Valles alto Calima y alto y medio del Cauca,,,,4.90520225,-75.35516720,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Jaramillo, 1989",FALSE
199,"Landázuri, Loma del Colegio",198,Magdalena medio,Santader,,,6.2211642,-73.81427542,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Lleras, 1988",FALSE
200,Las Animas,199,Sierra Nevada,,,,11.13622145,-73.92255203,,,,,,,Tiene arquitectura,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,"Herrera, 1985",FALSE
201,Las Cruces,200,Macizo Andino del sur,,,,0.853887611,-77.58939248,,,,,,,Este sitio tiene problemas cronológicos,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Plazas1977-78 y Uribe 1976, 1977-78. Ver crítica en Salgado et al. 1995 y sobre la secuencia Capulí-Piartal-Tuza ver Cárdenas 1989, 1992; Doyon(1993. Uribe 1992. Cárdenas,1996.",FALSE
202,Las Delicias-Bogotá,201,Altiplano Cundiboyacense,Cundinamarca,,,4.610,-74.220,,,,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,"Enciso, 1989; 1991;1993; Cárdenas 1996; Delgado 1996",FALSE
203,Las Delicias-Timbiquí,202,Costa Pacífica,,,,2.82459354,-77.71972256,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"Patiño, 1987;1988",FALSE
